Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Spongano;16075078;2013;Comune;3.758;2,78;7,79;128,88;6,6;1,92;11,43;52,82;6,17;0,841;10,26;116,06;
Squinzano;16075079;2010;Comune;14.537;0;35,82;530,54;1,09;0,26;25,0852;32,6054;25,779999999999998;0,96;0;475,717;
Squinzano;16075079;2011;Comune;14.482;4,68;41,06;497,32;1,06;0;22,9594;30,3323;15,12;1,695;0,04;437,0629;
Squinzano;16075079;2012;Comune;14.440;4,68;41,06;497,32;1,06;0;22,9594;30,3323;15,12;1,695;0,04;437,0629;
Squinzano;16075079;2013;Comune;14.493;0;22,42;520,52;5,94;3,3600000000000003;8,649999999999999;85,35;14,360000000000001;1,1199999999999999;11,54;263,29;
Sternatia;16075080;2010;Comune;2.459;4,8;7,88;71,03;0;9,79;6,54;38,07;6,163;0,278;0;74,11;
Sternatia;16075080;2011;Comune;2.426;0;7,81;69,03999999999999;0;7,45;0;44,81;7,347;0,12;0,021;72,64;
Sternatia;16075080;2012;Comune;2.422;0;7,02;73,35;0;7,29;3,72;40,58;0;0,13;0;77,38;
Sternatia;16075080;2013;Comune;2.365;0;7,26;72,01;0;7,98;5,66;37,44;7,668000000000001;0,13;3,69;71,528;
Supersano;16075081;2010;Comune;4.510;253,54;19,365;38,3;0;0;6,14;0;11,453;0;26,366;114,06;
Supersano;16075081;2011;Comune;4.509;236,44;18,39;35,03;0;6,46;3,7;0,78;41,224000000000004;0,259;24,55;138;
Supersano;16075081;2012;Comune;4.502;6,12;34,58;96,12;0;21,08;9,31;63,78;42,1;3,867;23,8;133,98;
Supersano;16075081;2013;Comune;4.506;3,16;29,18;102,66;1,8;10,44;8,79;14,83;11,620000000000001;1,909;14,77;118,7;
Surano;16075082;2010;Comune;1.724;119,98;11,31;132,5;0;0;1,18;0;8,120000000000001;0;10,137;64,37;
Surano;16075082;2011;Comune;1.698;90,13;7,78;85,64;1,6;5,52;2,02;0;7,752;0,284;6,02;63,13;
Surano;16075082;2012;Comune;1.701;0,8;7,38;101,5453;0;6,814100000000001;5,1190999999999995;30,8324;10,705;0,495;5,19;61,7576;
Surano;16075082;2013;Comune;1.717;0,81;6,63;160,45;1,56;2,36;4,9;30,7;6,5;0,881;4,96;56,1;
Surbo;16075083;2010;Comune;14.876;0,15;14,48;703,14;24,56;10,21;38,4623;63,0752;25,810000000000002;2,21;0;350,287;
Surbo;16075083;2011;Comune;14.849;0;16,24;528,47;18,11;14,39;30,4321;63,0238;18,17;0,5700000000000001;0;320,472;
Surbo;16075083;2012;Comune;14.858;0;15,05;606,64;0;13,450000000000001;12,7;139,62;23,419999999999998;0,655;0;123,63;
Surbo;16075083;2013;Comune;15.073;5,24;13,57;449,93;0;15;6,63;20,19;20,49;2,3;0;88,34;
Taurisano;16075084;2010;Comune;12.675;0,037;11,62;398,36;2;26,54;38,46;160,78;25,070999999999998;0,061;0;320,39;
Taurisano;16075084;2011;Comune;12.643;0,086;15,44;420,62;4,77;24,31;38,88;169,26;20,629000000000005;0,17;0;322,94;
Taurisano;16075084;2012;Comune;12.653;1,92;35,76;413,76;14,63;11,29;34,98;175,18;26,046;0,085;0;327,77;
Taurisano;16075084;2013;Comune;12.118;0;58,98;410,49;3,85;11,91;34,98;175,15;25,996;0,225;0;327,77;
Taviano;16075085;2010;Comune;12.632;4,36;26,7;722,56;7,13;61,223;19,64;211,78;29,157600000000002;2,389;0;298,725;
Taviano;16075085;2011;Comune;12.492;2,7;21,55;721,58;20,13;37,13;12,81;212,47;20,35;0,7070000000000001;0;280,21;
Taviano;16075085;2012;Comune;12.458;3,92;32,46;543,63;9,7;28,17;7,790000000000001;202,15;29,38;2,2049999999999996;0,49;240,06;
Taviano;16075085;2013;Comune;12.374;5,465;23,6;507,18;13,93;34,44;5,19;1472,93;31,770000000000003;1,908;0,05;213,91;
Tiggiano;16075086;2010;Comune;2.931;0,36;7,74;90,57;0;4,46;6,92;40,44;11,3233;0,126;0;82,04;
Tiggiano;16075086;2011;Comune;2.931;10,58;6,43;75,97;0;2,52;7,5;35,74;9,7351;0,19440000000000002;0;82,64;
Tiggiano;16075086;2012;Comune;2.933;2,31;2,24;81,95;0;2,12;8,12;41,88;12,910000000000002;0,25;0;76,7;
Tiggiano;16075086;2013;Comune;2.894;1,22;6,43;78,64;0;3,05;8,49;40,45;11,660000000000002;0,31;1,76;75,28;
Trepuzzi;16075087;2010;Comune;14.688;2,1100000000000003;68,28;145,14;0;1,92;60,9792;77,4502;15,76;1,04;5,6;775,8838;
Trepuzzi;16075087;2011;Comune;14.277;0,06;86,54;137,74;7,12;20,36;60,1967;79,1862;26,68;1,5;16,54;801,6143;
Trepuzzi;16075087;2012;Comune;14.271;0;90,88;349,59000000000003;14,85;15,51;21,92;226,17;26,56;3,71;19,18;374,82000000000005;
Trepuzzi;16075087;2013;Comune;14.762;0,74;96,52;344,15999999999997;76,91;25,29;21,13;217,63;28,479999999999997;3,92;43,5;364,19;
Tricase;16075088;2010;Comune;17.792;18,6;54,9;859,06;0;0;25,1722;32,8518;25,400000000000002;0,44;5,72;747,4244;
Tricase;16075088;2011;Comune;17.665;49,2;46,64;884,48;11,72;0;27,4895;35,6944;27,8;1,06;18,18;774,6781;
Tricase;16075088;2012;Comune;17.666;1,32;44,3;1000,2574;37,81;35,0878;20,577;130,1013;58,379999999999995;2,86;21,78;555,6812;
Tricase;16075088;2013;Comune;17.640;0,62;54,32;1075,36;37,19;44,47;15,32;140,46;75,41999999999999;3,31;1,7;563,38;
Tuglie;16075089;2010;Comune;5.320;2,53;9,42;92,00999999999999;0;6,88;3,5097;19,2338;9,911;0,46299999999999997;0;39,5689;
Tuglie;16075089;2011;Comune;5.264;0,672;6,76;156,2;0;8,02;10,5674;58,3793;15,098;0,367;0;194,99169999999998;
Tuglie;16075089;2012;Comune;5.255;0,2;2,14;141,44;0;4,7;11,68;90,78;13,83;0,5700000000000001;20,57;134,84;
Tuglie;16075089;2013;Comune;5.237;0,06;12,66;140,05;0;6,66;15,32;82,42;13,18;0,77;19,57;119,48;
Ugento;16075090;2010;Comune;12.266;8,202;117,49;420,53;5,85;0,93;33,57;177,76;36,855000000000004;1,78;0;321,24;
Ugento;16075090;2011;Comune;12.001;52,431;101,77;510,20000000000005;1,01;15,97;41,6335;222,3152;38,608999999999995;0,78;5,865;325,2773;
Ugento;16075090;2012;Comune;11.997;0;153,04;691,0717999999999;40,22;66,2864;70,0325;372,2801;57,688;1,27;4,56;451,9426;
Ugento;16075090;2013;Comune;12.560;16,29;175,13;718,6199999999999;90,09;86,81;50,54;385,51;62,768;1,755;13,215;454,77;
Uggiano la Chiesa;16075091;2010;Comune;4.444;1,335;15,22;39,77;0;0;21,9222;27,3045;4,512;0;32,987;284,2079;
Uggiano la Chiesa;16075091;2011;Comune;4.479;3,45;9,79;42,68;4;2,51;22,6986;26,737299999999998;10,15;0,184;22,15;292,0275;
Uggiano la Chiesa;16075091;2012;Comune;4.476;0,2;9,26;105,55699999999999;0;7,699;8,918800000000001;71,2865;11,379999999999999;0,6000000000000001;14,09;196,2541;
Uggiano la Chiesa;16075091;2013;Comune;4.466;0,5;0;146,10999999999999;4,04;2,71;15,275;67,55;5,694000000000001;0,7669999999999999;12,51;165,92;
Veglie;16075092;2010;Comune;14.369;0,5;31,2;223,46;110,72;0;41,151199999999996;52,0766;12,24;1,1;7,06;485,0262;
Veglie;16075092;2011;Comune;14.304;1,16;28,02;161,32;452,11;0;45,302099999999996;57,3731;12,96;1,68;14,1;374,4084;
Veglie;16075092;2012;Comune;14.307;0;26,66;321,1692;338,03999999999996;5,8324;1,5277;159,8754;2050,76;1,12;13,88;47,2468;
Veglie;16075092;2013;Comune;14.338;1,9;29,3;329,92;344,68;4,68;0;0,24;13,5;1,69;0,78;0;
Vernole;16075093;2010;Comune;7.404;0;0;178,81;48,3;17,76;5,1499999999999995;114,52;14,530000000000001;0,1;0;176,57;
Vernole;16075093;2011;Comune;7.296;0;0;208,8;67,34;14,88;0,39;156,22;14,389999999999999;0;0;206,46;
Vernole;16075093;2012;Comune;7.287;0,57;0;199,9;47,94;8,61;0,11;148,39;10,79;0,405;12,8;222,14;
Vernole;16075093;2013;Comune;7.250;0,13;14,36;145,3;52,12;6,68;0;184,39;11,11;2,5269999999999997;12,43;222,24;
Zollino;16075094;2010;Comune;2.072;0,52;4,87;56,54;2,7;6,9;14,615;25,6582;10,594999999999999;0,719;0;196,2231;
Zollino;16075094;2011;Comune;2.058;0;5,88;78,36;5,21;5,26;1,19;54,02;8,68;0,46;7,05;79,38;
Zollino;16075094;2012;Comune;2.056;0,17;4,25;89,42;1,52;3,81;5,738;49,7;10,93;0,48;20,92;75,56;
Zollino;16075094;2013;Comune;2.062;0,1;3,94;77,84;2,47;2,95;7,318;49,7;8,12;0,639;8,19;75,56;
San Cassiano;16075095;2010;Comune;2.126;176,14;11,36;23,08;0;0;1,11;0;6,398000000000001;0;12,34;86,36;
San Cassiano;16075095;2011;Comune;2.105;127,02;8,68;25,75;0;3,84;2,51;0,48;8,284;0,265;6,81;85,68;
San Cassiano;16075095;2012;Comune;2.106;4,35;12,15;17,240000000000002;0;11,19;10,982999999999999;26,259;15,325;0,48400000000000004;5,75;136,47199999999998;
San Cassiano;16075095;2013;Comune;2.062;3,2;18,76;49,82;5,7;11,28;3,935;1,29;4,85;1,543;6,98;107,46;
Castro;16075096;2010;Comune;2.495;192,75;17,55;48,45;0;0;2,56;0;4,779999999999999;0;19,137;166,06;
Castro;16075096;2011;Comune;2.473;182,37;14,61;54,46;0;5,81;2,65;0,5;15,725000000000001;0,32799999999999996;19,25;88,24;
Castro;16075096;2012;Comune;2.467;1,47;15,99;84,4134;16,4;11,389800000000001;8,083400000000001;49,2733;19,12;0,14200000000000002;15,55;132,276;
Castro;16075096;2013;Comune;2.459;1,24;21,21;214,45999999999998;17,38;9,3;21,880000000000003;143,25;14,6;1,703;9,35;169,01000000000002;
Porto Cesareo;16075097;2010;Comune;5.675;2,91;0;122,22;91,35;61,22;5,68;7,49;0;0,0815;0;301,52;
Porto Cesareo;16075097;2011;Comune;5.448;230,012;53,8;126,26;98,25;71,27;10,929300000000001;1,925;20,349800000000002;0,29;0;298,8245;
Porto Cesareo;16075097;2012;Comune;5.438;1,86;50,1;218,26;46,69;78,39;17,11;45,87;0;0,665;0,4;271,24;
Porto Cesareo;16075097;2013;Comune;5.886;5,550000000000001;46,88;201,07000000000002;99,11;111,97999999999999;10,620000000000001;61,29;0;0,2;11,54;258,79;
Abbadia Lariana;03097001;2010;Comune;3.305;0;5,7204;55,36;322,4;45,82;55,2231;12,7945;17,123;3,6159999999999997;0;342,351;
Abbadia Lariana;03097001;2011;Comune;3.249;0;6,1156;118,97;399,18;48,9;63,55;101,97;23,17;2,528;9,780000000000001;176,127;
Abbadia Lariana;03097001;2012;Comune;3.230;0;7,2274;116,25;456,63;59,28;50,641999999999996;102,48;20,250999999999998;2,255;9,35;170,039;
Abbadia Lariana;03097001;2013;Comune;3.235;0;7,218779917;114,58;371,96000000000004;67,21;53,983000000000004;97,8;17,826;2,219;4,31;162,026;
Airuno;03097002;2010;Comune;2.999;0;5,5966;131,8;580,31;80,97;44,3496;12,652999999999999;14,579999999999998;3,604;11,228;211,41;
Airuno;03097002;2011;Comune;2.979;0;5,2306;139,71;469,75;77,46;37,55;71,61;18,064999999999998;3,348;16,001;132,31;
Airuno;03097002;2012;Comune;2.994;0;4,5525;144,5;456,53;72,53;39,58;74,8;15,469999999999999;2,949;13,572999999999999;137,764;
Airuno;03097002;2013;Comune;2.945;0;4,045607953;127,045;477,75;84,69;34,27;73,53999999999999;14,565000000000001;2,755;11,595;150,657;
Annone di Brianza;03097003;2010;Comune;2.304;0;6,3712;127,754;305,46500000000003;45,849;14,666599999999999;3,45;12,166;2,8219999999999996;0;130,972;
Annone di Brianza;03097003;2011;Comune;2.292;0;6,464;136,566;323,744;51,738;11,751999999999999;18,924;12,519;1,916;1,06;103,72;
Annone di Brianza;03097003;2012;Comune;2.288;0;6,6243;130,926;316,786;45,322;10,994;18,804000000000002;10,565999999999999;2,343;0,99;116,604;
Annone di Brianza;03097003;2013;Comune;2.302;0;6,453045525;118,043;322,48900000000003;49,947;12,609;20,486;10,440000000000001;2,402;0;118,731;
Ballabio;03097004;2010;Comune;3.967;0;9,2757;72,83;603,22;117,24;52,6507;13,559;24,935000000000002;4,155;9,05;336,40999999999997;
Ballabio;03097004;2011;Comune;4.018;0;7,9861;129,72;656,76;94,12;55,040000000000006;110,34;28,465;4,542;7,353000000000001;154,655;
Ballabio;03097004;2012;Comune;4.015;0;6,5702;115,13499999999999;498,45000000000005;78,245;10,45;113,8;17,894;4,203;15,19;148,457;
Ballabio;03097004;2013;Comune;4.082;0;6,246321528;120,99000000000001;616,62;85,48;10,15;124,605;19,82;3,912;8,59;156,305;
Barzago;03097005;2010;Comune;2.566;0;3,2095;143,182;379,67499999999995;50,424;14,7212;9,932;14,618;3,053;9,96;240,276;
Barzago;03097005;2011;Comune;2.577;0;3,4837;162,929;408,96799999999996;53,226;16,823;70,102;16,776000000000003;2,793;14,264;117,029;
Barzago;03097005;2012;Comune;2.569;0;3,4178;137,63;377,554;52,928;14,669;64,657;12,66;3,0860000000000003;12,965;109,362;
Barzago;03097005;2013;Comune;2.505;0;3,417983961;147,211;395,626;44,075;15,097999999999999;63,766;12,033999999999999;3,099;8,517;114,129;
Barzanò;03097006;2010;Comune;5.203;0;10,0333;153,042;678,595;115,008;54,5291;18,314999999999998;30,947;7,08;19,517;450,88599999999997;
Barzanò;03097006;2011;Comune;5.171;0;9,4908;230,353;688,247;107,543;59,333999999999996;139,00699999999998;30,080000000000002;8,109;26,66;232,396;
Barzanò;03097006;2012;Comune;5.181;0;8,8028;205,635;641,949;97,264;47,301;131,92600000000002;24,34;8,021;25,302;216,509;
Barzanò;03097006;2013;Comune;5.191;0;10,33713828;200,606;681,8299999999999;116,703;53,287;131,47400000000002;23,628;7,361;17,641;187,651;
Barzio;03097007;2010;Comune;1.321;0;2,1997;0;253,498;0;4,062;7,8115;13,021999999999998;1,465;3,13;232,187;
Barzio;03097007;2011;Comune;1.297;0;2,4281;39,71;346,523;0;20,92;62,37;15,579;1,901;6,12;117,262;
Barzio;03097007;2012;Comune;1.292;0;2,9649;36,99;175,368;0;15,83;61,56;9,071;1,5770000000000002;5,85;122,888;
Barzio;03097007;2013;Comune;1.327;0;2,993495965;33,64;126,798;0;12,41;58,32;9,265;1,056;2,18;116,384;
Bellano;03097008;2010;Comune;3.305;23,97;4,9912;98,16;482,81;0;17,0624;23,683;20,977999999999998;4,1659999999999995;10,76;287,078;
Bellano;03097008;2011;Comune;3.264;22,06;5,5687;113,95;463,33;0;10,66;111,79;18,362000000000002;4,550000000000001;14,76;157,863;
Bellano;03097008;2012;Comune;3.260;5,7;6,6939;107,995;495,19;0;26,97;110,74;18,211;3,3509999999999995;15,76;160,7;
Bellano;03097008;2013;Comune;3.281;0;6,279551927;120,025;494,09000000000003;0;29,97;95,41;13,929;1,966;8,32;160,857;
Bosisio Parini;03097009;2010;Comune;3.519;0;3,8551;112,854;343,835;54,54;5,5952;15,879999999999999;16,631;5,6579999999999995;0;274,132;
Bosisio Parini;03097009;2011;Comune;3.504;0;4,1134;153,15;356,74;51,58;8;88,43;16,975;5,253;4,86;122,101;
Bosisio Parini;03097009;2012;Comune;3.509;0;4,037;139,73;323,05;46,92;6,89;79,92;14,003;5,368;11,42;128,113;
Bosisio Parini;03097009;2013;Comune;3.532;0;4,211759951;133,61;371,62;53,65;6,72;82,96000000000001;12,082999999999998;4,843;7,3;135,644;
Brivio;03097010;2010;Comune;4.770;0;5,7976;81,65899999999999;589,99;82,64;34,6818;15,155;22,661;4,94;12,221;317,654;
Brivio;03097010;2011;Comune;4.686;0;5,2243;178,01;618,99;84,29;40,85;99,48;21,59;5,093999999999999;18,661;140,598;
Brivio;03097010;2012;Comune;4.700;0;4,8605;169,652;592,24;77,69;31,05;104,21;20,58;4,457;18,051000000000002;149,437;
Brivio;03097010;2013;Comune;4.690;0;5,048812742;149,965;614,25;77,28;37,55;106,19;19,744999999999997;3,812;14,116;173,033;
Bulciago;03097011;2010;Comune;3.034;0;3,7837;35,775;384,177;59,482;17,6389;12,248000000000001;14,571;3,255;8,798;229,929;
Bulciago;03097011;2011;Comune;2.948;0;4,1165;85,37;412,988;62,902;20,049;84,622;13,599;3,148;20,268;76,505;
Bulciago;03097011;2012;Comune;2.923;0;4,0385;74,13000000000001;393,55;62,546;17,788;81,302;14,129000000000001;3,3640000000000003;19,892000000000003;79,594;
Bulciago;03097011;2013;Comune;2.974;0;3,944536754;78,547;399,601;52,082;18,45;82,27499999999999;11,355999999999998;3,409;17,801;81,903;
Calco;03097012;2010;Comune;5.132;0;8,4192;230,105;613,75;82,22;30,1824;9,137;31,175000000000004;4,472;0;296,734;
Calco;03097012;2011;Comune;5.113;0;8,1385;268,885;654,74;80,082;19,130000000000003;38,900000000000006;27,807000000000002;4,66;2,12;247,359;
Calco;03097012;2012;Comune;5.108;0;8,0408;257,623;703,94;78,82;17,67;37,65;18,478;2,2760000000000002;1,94;231,662;
Calco;03097012;2013;Comune;5.254;0;8,528620701;266,43699999999995;818,95;78,95;16,55;40,669999999999995;22,944000000000003;2,3569999999999998;0;185,841;
Calolziocorte;03097013;2010;Comune;14.315;40,7;11,6293;293,09000000000003;1444,57;202,76999999999998;49,6116;34,037;49,602;7,969;0;995,127;
Calolziocorte;03097013;2011;Comune;14.009;43,25;4,6772;513,97;1393,45;187,94;73,19;252,56;58,876999999999995;6,255000000000001;14,61;561,566;
Calolziocorte;03097013;2012;Comune;13.985;3,44;7,6807;518,35;1355,3200000000002;188,52;79,219;251,71;45,697;6,28;13,83;472,777;
Calolziocorte;03097013;2013;Comune;14.162;0;10,02211188;470,1;1548,01;203,24;79,102;238,31;46,034000000000006;5,4719999999999995;0;467,785;
Carenno;03097014;2010;Comune;1.533;0;0,6375;60,25;131,69;18,63;23,610100000000003;9,285499999999999;9,056000000000001;1,2859999999999998;5,155;117,707;
Carenno;03097014;2011;Comune;1.496;0;0,514;73,28999999999999;123,08;15,67;16,64;34,36;11,421999999999999;1,6700000000000002;7,09;64,342;
Carenno;03097014;2012;Comune;1.494;0;0,4886;81,04599999999999;128,39000000000001;17,03;20,48;36,48;7,779;1,3239999999999998;6,634;63,172;
Carenno;03097014;2013;Comune;1.470;0;0,545375994;71,73599999999999;131,625;18,04;23,55;34,41;8,149999999999999;0,661;4,864;64,805;
Casargo;03097015;2010;Comune;874;0;2,8746;44,962;35,154;16,128;0,3165;23,0256;11,314;1,002;0;95,0801;
Casargo;03097015;2011;Comune;849;0;2,5284;36,984;44,351;20,6;21,44;21,825000000000003;13,614;0,92;0,24;90,282;
Casargo;03097015;2012;Comune;848;0;2,842;43,125;48,831;21,457;17,468;23,096;10,457;0,761;0,2;71,909;
Casargo;03097015;2013;Comune;833;0;2,532575971;38,083999999999996;51,918;23,615;18,183;22,749000000000002;10,361;1,096;0;67,829;
Casatenovo;03097016;2010;Comune;12.691;0;14,454;254,45;1655,45;130,13;94,1516;46,626999999999995;70,116;13,390999999999998;43,854;1105,5;
Casatenovo;03097016;2011;Comune;12.664;0;14,1613;463,12;1642,4099999999999;142,64;110,32;359,10999999999996;74,011;12,11;64,586;492,533;
Casatenovo;03097016;2012;Comune;12.664;0;14,6466;478,345;1638,85;132,79;105,1;360,56;56,349;11,060000000000002;63,587;506,878;
Casatenovo;03097016;2013;Comune;12.918;0;15,76015182;441,295;1678,63;143,86;144,9;367,27;52,518;11,418000000000001;46,872;499,683;
Cassago Brianza;03097017;2010;Comune;4.393;0;3,1239;179,32;512,405;68,45;48,29;82,59;21,766999999999996;5,751;14,801;149,991;
Cassago Brianza;03097017;2011;Comune;4.406;0;2,9825;185,92000000000002;536,3299999999999;76,04;49,61;75,3;20,884999999999998;5,715999999999999;15,197;148,789;
Cassago Brianza;03097017;2012;Comune;4.403;0;3,6448;171,25;527,065;70,275;45,28;72,54;15,025;5,064000000000001;14,988;148,841;
Cassago Brianza;03097017;2013;Comune;4.447;0;5,23075194;200,05999999999997;544,4300000000001;77,46;43,89;47,57;16,455;5,0440000000000005;14,591;157,297;
Cassina Valsassina;03097018;2010;Comune;481;0;0,9589;0;4,83;0;5,9548;1,24;3,76;0,38899999999999996;2,61;60,652;
Cassina Valsassina;03097018;2011;Comune;470;0;0,6163;7,16;4,855;0;5,32;11,25;3,2009999999999996;0,34199999999999997;3,53;41,673;
Cassina Valsassina;03097018;2012;Comune;472;0;1,393;5,58;21,756999999999998;0;5,659999999999999;9,29;3,11;0,53;2,8099999999999996;39,103;
Cassina Valsassina;03097018;2013;Comune;476;0;1,064807988;5,14;27,229;0;6,550000000000001;8,91;2,471;0,237;2,47;36,158;
Castello di Brianza;03097019;2010;Comune;2.469;0;2,2487;51,12;234,78000000000003;29,72;27,6004;8,193;9,998999999999999;3,069;6,522;194,477;
Castello di Brianza;03097019;2011;Comune;2.475;0;2,2551;81,78;240,8;39,34;25,369999999999997;66,38;9,620000000000001;2,59;9,78;78,263;
Castello di Brianza;03097019;2012;Comune;2.467;0;2,2765;80,66;235,23;39,92;23,830000000000002;65,66;8,355;2,3200000000000003;9,316;80,842;
Castello di Brianza;03097019;2013;Comune;2.568;0;2,720807969;75,52000000000001;243,66000000000003;49,38;24,369999999999997;67,09;10,783000000000001;2,794;5,246;106,64399999999999;
Cernusco Lombardone;03097020;2010;Comune;3.870;0;7,254;174,618;491,657;58,362;68,0311;13,177;25,028;4,438;2,34;288,226;
Cernusco Lombardone;03097020;2011;Comune;3.851;0;6,5575;209,16;485,463;52,938;65,906;89,96900000000001;20,132;3,7790000000000004;7,789;169,981;
Cernusco Lombardone;03097020;2012;Comune;3.849;0;6,2306;194,417;496,76599999999996;57,281;54,052;89,899;13,284;3,84;10,026;163,016;
Cernusco Lombardone;03097020;2013;Comune;3.842;0;6,500572725;190,32299999999998;520,158;62,063;55,18;89,045;12,925;3,291;6,352;164,228;
Cesana Brianza;03097021;2010;Comune;2.343;0;7,9084;0;298,78;61,07;4,6121;8,8695;10,68;4,034;0;221,684;
Cesana Brianza;03097021;2011;Comune;2.348;0;7,0502;45,97;346,297;70,8;6,88;72,2;12,728000000000002;2,96;8,38;105,147;
Cesana Brianza;03097021;2012;Comune;2.360;0;7,2212;44,37;309,469;62,65;6,78;73,84;10,786999999999999;2,845;4,06;100,337;
Cesana Brianza;03097021;2013;Comune;2.406;0;7,742903911;42,550000000000004;363,315;0;6,36;72,97;8,848;2,2969999999999997;0;68,176;
Civate;03097022;2010;Comune;4.062;0;3,3777;16,907;282,801;67,729;16,5375;13,0305;22,185000000000002;3,5810000000000004;0;334,46099999999996;
Civate;03097022;2011;Comune;4.019;0;2,6489;88;300,318;64,39;20,391;111,542;21,708;3,438;6,46;117,72200000000001;
Civate;03097022;2012;Comune;4.024;0;3,0313;84,011;313,874;66,855;19,246;111,102;17,936999999999998;4,566;6,09;112,063;
Civate;03097022;2013;Comune;4.008;0;3,301238264;78,11099999999999;309,675;136,822;19,753;103,47;19,240000000000002;4,604;0;113,02;
Colico;03097023;2010;Comune;7.561;0;10,4637;105,76;925,41;114,56;73,5841;31,9695;39,329;12,557;26,51;849,554;
Colico;03097023;2011;Comune;7.473;0;11,3494;260,07500000000005;1085,78;158,21;88,69;258,72;38,912;14,047;38,56;411,397;
Colico;03097023;2012;Comune;7.486;0;12,383;237,24;1182,4299999999998;140,14;71,38;245,38;31,423000000000002;10,221;36,952;406,525;
Colico;03097023;2013;Comune;7.683;0;12,44318386;233,56;1221,84;130,26;77,97;249,39;22,415999999999997;11,057;20,48;388,407;
Colle Brianza;03097024;2010;Comune;1.762;0;2,6437;72,50999999999999;181,2;38,635;13,3432;1,583;10,431000000000001;2,7680000000000002;4,663;90,787;
Colle Brianza;03097024;2011;Comune;1.736;0;2,6749;81,845;184,54;30,9;12,64;11,93;13,239;2,814;5,243;77,548;
Colle Brianza;03097024;2012;Comune;1.732;0;2,5789;71,75999999999999;171,97;23,41;15,45;12,34;11,754000000000001;2,9210000000000003;4,0969999999999995;85,013;
Colle Brianza;03097024;2013;Comune;1.750;0;2,60102397;71,785;183,49;23,02;13,979999999999999;12,74;10,213999999999999;2,656;4,85;76,267;
Cortenova;03097025;2010;Comune;1.295;0;1,7909;18,033;58,248;18,189;1,5881;3,9419999999999997;8,012;0,9;0;112,093;
Cortenova;03097025;2011;Comune;1.265;0;2,5252;31,67;61,009;19,783;2,58;27,788999999999998;9,884;0,8550000000000001;1,57;82,832;
Cortenova;03097025;2012;Comune;1.267;0;2,3152;28,393;60,53;17,336;2,48;27,811;7,275;0,891;1,49;56,267;
Cortenova;03097025;2013;Comune;1.240;0;2,154179975;28,372;64,122;19,076;2,36;27,753;7,382999999999999;1,0050000000000001;0;52,765;
Costa Masnaga;03097026;2010;Comune;4.806;0;6,8063;225,869;556,626;69,086;30,1438;15,878;24,512;6,091;16,559;386,438;
Costa Masnaga;03097026;2011;Comune;4.751;0;7,3773;310,034;588,925;87,262;30,39;106,854;24,021;5,98;22,919999999999998;184,167;
Costa Masnaga;03097026;2012;Comune;4.736;0;7,4157;111,647;594,639;91,042;30,754;102,63000000000001;23,868000000000002;5,873;21,692;178,481;
Costa Masnaga;03097026;2013;Comune;4.779;0;7,441070314;191,383;589,207;81,83;33,462;101,286;23,939999999999998;5,971;16,237;179,1;
Crandola Valsassina;03097027;2010;Comune;267;0;0,2274;11,262;8,637;3,962;0,1359;5,709300000000001;2,2;0,211;0;23,3412;
Crandola Valsassina;03097027;2011;Comune;273;0;0,2351;10,383;9,762;4,565;0,16;5,917;3,002;0,321;0,1;21,363;
Crandola Valsassina;03097027;2012;Comune;274;0;0,2326;10,982;9,738;4,276;0,04;5,4190000000000005;2,224;0,29000000000000004;0,02;15,729;
Crandola Valsassina;03097027;2013;Comune;259;0;0,222179997;10,796000000000001;10,352;4,705;0,05;6,14;2,301;0,33999999999999997;0;17,061;
